#  e-lower      e-upper      photon      r.err 
   0.0000E+00   1.0000E+00   3.0058E+08  0.0029
   1.0000E+00   2.0000E+00   1.6752E+08  0.0024
   2.0000E+00   3.0000E+00   9.6053E+07  0.0032
   3.0000E+00   4.0000E+00   6.4373E+07  0.0039
   4.0000E+00   5.0000E+00   4.6840E+07  0.0045
   5.0000E+00   6.0000E+00   3.6194E+07  0.0051
   6.0000E+00   7.0000E+00   2.8665E+07  0.0058
   7.0000E+00   8.0000E+00   2.3858E+07  0.0063
   8.0000E+00   9.0000E+00   1.9914E+07  0.0069
   9.0000E+00   1.0000E+01   1.6889E+07  0.0075
   1.0000E+01   1.1000E+01   1.4454E+07  0.0081
   1.1000E+01   1.2000E+01   1.2624E+07  0.0086
   1.2000E+01   1.3000E+01   1.0974E+07  0.0093
   1.3000E+01   1.4000E+01   9.5956E+06  0.0099
   1.4000E+01   1.5000E+01   8.4783E+06  0.0105
   1.5000E+01   1.6000E+01   7.7560E+06  0.0110
   1.6000E+01   1.7000E+01   6.6540E+06  0.0119
   1.7000E+01   1.8000E+01   6.1997E+06  0.0123
   1.8000E+01   1.9000E+01   5.4407E+06  0.0131
   1.9000E+01   2.0000E+01   4.9504E+06  0.0138
   2.0000E+01   2.1000E+01   4.3871E+06  0.0146
   2.1000E+01   2.2000E+01   4.0417E+06  0.0152
   2.2000E+01   2.3000E+01   3.7044E+06  0.0159
   2.3000E+01   2.4000E+01   3.1876E+06  0.0171
   2.4000E+01   2.5000E+01   2.8535E+06  0.0181
   2.5000E+01   2.6000E+01   2.4623E+06  0.0195
   2.6000E+01   2.7000E+01   2.2297E+06  0.0205
   2.7000E+01   2.8000E+01   1.9174E+06  0.0221
   2.8000E+01   2.9000E+01   1.6689E+06  0.0237
   2.9000E+01   3.0000E+01   1.3981E+06  0.0258
   3.0000E+01   3.1000E+01   1.1073E+06  0.0290
   3.1000E+01   3.2000E+01   8.1594E+05  0.0338
   3.2000E+01   3.3000E+01   5.0707E+05  0.0428
   3.3000E+01   3.4000E+01   2.2931E+05  0.0636
   3.4000E+01   3.5000E+01   4.6314E+04  0.1414
   3.5000E+01   3.6000E+01   0.0000E+00  0.0000
   3.6000E+01   3.7000E+01   0.0000E+00  0.0000
   3.7000E+01   3.8000E+01   0.0000E+00  0.0000
   3.8000E+01   3.9000E+01   0.0000E+00  0.0000
   3.9000E+01   4.0000E+01   0.0000E+00  0.0000
   4.0000E+01   4.1000E+01   0.0000E+00  0.0000
   4.1000E+01   4.2000E+01   0.0000E+00  0.0000
   4.2000E+01   4.3000E+01   0.0000E+00  0.0000
   4.3000E+01   4.4000E+01   0.0000E+00  0.0000
   4.4000E+01   4.5000E+01   0.0000E+00  0.0000
   4.5000E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   5.0000E+01   0.0000E+00  0.0000
   5.0000E+01   5.1000E+01   0.0000E+00  0.0000
   5.1000E+01   5.2000E+01   0.0000E+00  0.0000
   5.2000E+01   5.3000E+01   0.0000E+00  0.0000
   5.3000E+01   5.4000E+01   0.0000E+00  0.0000
   5.4000E+01   5.5000E+01   0.0000E+00  0.0000
   5.5000E+01   5.6000E+01   0.0000E+00  0.0000
   5.6000E+01   5.7000E+01   0.0000E+00  0.0000
   5.7000E+01   5.8000E+01   0.0000E+00  0.0000
   5.8000E+01   5.9000E+01   0.0000E+00  0.0000
   5.9000E+01   6.0000E+01   0.0000E+00  0.0000
