#  e-lower      e-upper      photon      r.err 
   0.0000E+00   1.0000E+00   4.7132E+08  0.0017
   1.0000E+00   2.0000E+00   2.6368E+08  0.0020
   2.0000E+00   3.0000E+00   1.5229E+08  0.0026
   3.0000E+00   4.0000E+00   1.0443E+08  0.0031
   4.0000E+00   5.0000E+00   7.7233E+07  0.0035
   5.0000E+00   6.0000E+00   6.1252E+07  0.0040
   6.0000E+00   7.0000E+00   4.9111E+07  0.0044
   7.0000E+00   8.0000E+00   4.1528E+07  0.0048
   8.0000E+00   9.0000E+00   3.4776E+07  0.0052
   9.0000E+00   1.0000E+01   2.9783E+07  0.0056
   1.0000E+01   1.1000E+01   2.6353E+07  0.0060
   1.1000E+01   1.2000E+01   2.2991E+07  0.0064
   1.2000E+01   1.3000E+01   2.0123E+07  0.0068
   1.3000E+01   1.4000E+01   1.8336E+07  0.0072
   1.4000E+01   1.5000E+01   1.6171E+07  0.0076
   1.5000E+01   1.6000E+01   1.4702E+07  0.0080
   1.6000E+01   1.7000E+01   1.3348E+07  0.0084
   1.7000E+01   1.8000E+01   1.2033E+07  0.0088
   1.8000E+01   1.9000E+01   1.0946E+07  0.0093
   1.9000E+01   2.0000E+01   1.0158E+07  0.0096
   2.0000E+01   2.1000E+01   9.5019E+06  0.0099
   2.1000E+01   2.2000E+01   8.6600E+06  0.0104
   2.2000E+01   2.3000E+01   8.0259E+06  0.0108
   2.3000E+01   2.4000E+01   7.2773E+06  0.0113
   2.4000E+01   2.5000E+01   6.8814E+06  0.0117
   2.5000E+01   2.6000E+01   6.1619E+06  0.0123
   2.6000E+01   2.7000E+01   6.0744E+06  0.0124
   2.7000E+01   2.8000E+01   5.5158E+06  0.0130
   2.8000E+01   2.9000E+01   5.1325E+06  0.0135
   2.9000E+01   3.0000E+01   4.8547E+06  0.0139
   3.0000E+01   3.1000E+01   4.4582E+06  0.0145
   3.1000E+01   3.2000E+01   3.9636E+06  0.0154
   3.2000E+01   3.3000E+01   3.8444E+06  0.0156
   3.3000E+01   3.4000E+01   3.5174E+06  0.0163
   3.4000E+01   3.5000E+01   3.2055E+06  0.0171
   3.5000E+01   3.6000E+01   3.1208E+06  0.0173
   3.6000E+01   3.7000E+01   2.7818E+06  0.0183
   3.7000E+01   3.8000E+01   2.5175E+06  0.0193
   3.8000E+01   3.9000E+01   2.3095E+06  0.0201
   3.9000E+01   4.0000E+01   2.1628E+06  0.0208
   4.0000E+01   4.1000E+01   1.8252E+06  0.0226
   4.1000E+01   4.2000E+01   1.7272E+06  0.0232
   4.2000E+01   4.3000E+01   1.4858E+06  0.0250
   4.3000E+01   4.4000E+01   1.3149E+06  0.0266
   4.4000E+01   4.5000E+01   1.0528E+06  0.0297
   4.5000E+01   4.6000E+01   8.6186E+05  0.0328
   4.6000E+01   4.7000E+01   6.3544E+05  0.0382
   4.7000E+01   4.8000E+01   3.9534E+05  0.0484
   4.8000E+01   4.9000E+01   1.7141E+05  0.0735
   4.9000E+01   5.0000E+01   4.0719E+04  0.1508
   5.0000E+01   5.1000E+01   0.0000E+00  0.0000
   5.1000E+01   5.2000E+01   0.0000E+00  0.0000
   5.2000E+01   5.3000E+01   0.0000E+00  0.0000
   5.3000E+01   5.4000E+01   0.0000E+00  0.0000
   5.4000E+01   5.5000E+01   0.0000E+00  0.0000
   5.5000E+01   5.6000E+01   0.0000E+00  0.0000
   5.6000E+01   5.7000E+01   0.0000E+00  0.0000
   5.7000E+01   5.8000E+01   0.0000E+00  0.0000
   5.8000E+01   5.9000E+01   0.0000E+00  0.0000
   5.9000E+01   6.0000E+01   0.0000E+00  0.0000
