#  e-lower      e-upper      photon      r.err 
   0.0000E+00   1.0000E+00   4.1873E+08  0.0063
   1.0000E+00   2.0000E+00   2.3194E+08  0.0056
   2.0000E+00   3.0000E+00   1.3411E+08  0.0072
   3.0000E+00   4.0000E+00   9.1803E+07  0.0086
   4.0000E+00   5.0000E+00   6.7334E+07  0.0100
   5.0000E+00   6.0000E+00   5.2652E+07  0.0113
   6.0000E+00   7.0000E+00   4.3068E+07  0.0125
   7.0000E+00   8.0000E+00   3.5743E+07  0.0136
   8.0000E+00   9.0000E+00   3.0618E+07  0.0147
   9.0000E+00   1.0000E+01   2.5421E+07  0.0161
   1.0000E+01   1.1000E+01   2.2269E+07  0.0172
   1.1000E+01   1.2000E+01   1.9840E+07  0.0182
   1.2000E+01   1.3000E+01   1.6708E+07  0.0199
   1.3000E+01   1.4000E+01   1.5085E+07  0.0209
   1.4000E+01   1.5000E+01   1.3979E+07  0.0217
   1.5000E+01   1.6000E+01   1.2556E+07  0.0229
   1.6000E+01   1.7000E+01   1.1217E+07  0.0242
   1.7000E+01   1.8000E+01   1.0291E+07  0.0253
   1.8000E+01   1.9000E+01   9.2241E+06  0.0267
   1.9000E+01   2.0000E+01   8.3969E+06  0.0280
   2.0000E+01   2.1000E+01   7.8337E+06  0.0289
   2.1000E+01   2.2000E+01   7.5332E+06  0.0295
   2.2000E+01   2.3000E+01   6.5650E+06  0.0316
   2.3000E+01   2.4000E+01   6.0679E+06  0.0329
   2.4000E+01   2.5000E+01   5.4090E+06  0.0348
   2.5000E+01   2.6000E+01   4.8275E+06  0.0368
   2.6000E+01   2.7000E+01   4.6283E+06  0.0376
   2.7000E+01   2.8000E+01   4.4796E+06  0.0382
   2.8000E+01   2.9000E+01   3.7690E+06  0.0417
   2.9000E+01   3.0000E+01   3.4835E+06  0.0433
   3.0000E+01   3.1000E+01   3.3516E+06  0.0442
   3.1000E+01   3.2000E+01   3.0279E+06  0.0465
   3.2000E+01   3.3000E+01   2.9531E+06  0.0471
   3.3000E+01   3.4000E+01   2.4731E+06  0.0514
   3.4000E+01   3.5000E+01   2.2883E+06  0.0534
   3.5000E+01   3.6000E+01   2.2823E+06  0.0535
   3.6000E+01   3.7000E+01   1.5602E+06  0.0647
   3.7000E+01   3.8000E+01   1.5411E+06  0.0651
   3.8000E+01   3.9000E+01   1.4478E+06  0.0671
   3.9000E+01   4.0000E+01   1.1526E+06  0.0752
   4.0000E+01   4.1000E+01   9.8369E+05  0.0814
   4.1000E+01   4.2000E+01   6.7004E+05  0.0985
   4.2000E+01   4.3000E+01   4.6111E+05  0.1187
   4.3000E+01   4.4000E+01   2.0752E+05  0.1768
   4.4000E+01   4.5000E+01   5.8299E+04  0.3333
   4.5000E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   5.0000E+01   0.0000E+00  0.0000
