#  e-lower      e-upper      photon      r.err 
   0.0000E+00   1.0000E+00   3.5634E+08  0.0050
   1.0000E+00   2.0000E+00   2.0266E+08  0.0059
   2.0000E+00   3.0000E+00   1.1478E+08  0.0078
   3.0000E+00   4.0000E+00   7.7717E+07  0.0093
   4.0000E+00   5.0000E+00   5.7662E+07  0.0108
   5.0000E+00   6.0000E+00   4.4620E+07  0.0122
   6.0000E+00   7.0000E+00   3.6367E+07  0.0135
   7.0000E+00   8.0000E+00   2.9956E+07  0.0149
   8.0000E+00   9.0000E+00   2.4854E+07  0.0163
   9.0000E+00   1.0000E+01   2.1256E+07  0.0176
   1.0000E+01   1.1000E+01   1.8192E+07  0.0191
   1.1000E+01   1.2000E+01   1.5816E+07  0.0204
   1.2000E+01   1.3000E+01   1.4052E+07  0.0216
   1.3000E+01   1.4000E+01   1.2550E+07  0.0229
   1.4000E+01   1.5000E+01   1.0537E+07  0.0250
   1.5000E+01   1.6000E+01   9.7851E+06  0.0259
   1.6000E+01   1.7000E+01   8.4450E+06  0.0279
   1.7000E+01   1.8000E+01   8.1186E+06  0.0284
   1.8000E+01   1.9000E+01   7.5414E+06  0.0295
   1.9000E+01   2.0000E+01   6.8582E+06  0.0309
   2.0000E+01   2.1000E+01   5.9002E+06  0.0334
   2.1000E+01   2.2000E+01   5.4377E+06  0.0347
   2.2000E+01   2.3000E+01   4.7413E+06  0.0372
   2.3000E+01   2.4000E+01   4.5084E+06  0.0381
   2.4000E+01   2.5000E+01   4.1993E+06  0.0395
   2.5000E+01   2.6000E+01   4.0461E+06  0.0403
   2.6000E+01   2.7000E+01   3.3154E+06  0.0445
   2.7000E+01   2.8000E+01   3.1112E+06  0.0459
   2.8000E+01   2.9000E+01   2.8510E+06  0.0479
   2.9000E+01   3.0000E+01   2.3733E+06  0.0525
   3.0000E+01   3.1000E+01   2.2726E+06  0.0537
   3.1000E+01   3.2000E+01   1.8838E+06  0.0589
   3.2000E+01   3.3000E+01   1.6471E+06  0.0630
   3.3000E+01   3.4000E+01   1.4954E+06  0.0661
   3.4000E+01   3.5000E+01   1.2618E+06  0.0720
   3.5000E+01   3.6000E+01   9.2002E+05  0.0842
   3.6000E+01   3.7000E+01   7.4328E+05  0.0937
   3.7000E+01   3.8000E+01   3.9647E+05  0.1280
   3.8000E+01   3.9000E+01   2.2717E+05  0.1690
   3.9000E+01   4.0000E+01   6.4922E+04  0.3162
   4.0000E+01   4.1000E+01   0.0000E+00  0.0000
   4.1000E+01   4.2000E+01   0.0000E+00  0.0000
   4.2000E+01   4.3000E+01   0.0000E+00  0.0000
   4.3000E+01   4.4000E+01   0.0000E+00  0.0000
   4.4000E+01   4.5000E+01   0.0000E+00  0.0000
   4.5000E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   5.0000E+01   0.0000E+00  0.0000
