#  e-lower      e-upper      photon      r.err 
   0.0000E+00   1.0000E+00   4.1617E+08  0.0019
   1.0000E+00   2.0000E+00   2.3242E+08  0.0021
   2.0000E+00   3.0000E+00   1.3384E+08  0.0027
   3.0000E+00   4.0000E+00   9.1393E+07  0.0033
   4.0000E+00   5.0000E+00   6.7545E+07  0.0038
   5.0000E+00   6.0000E+00   5.2867E+07  0.0043
   6.0000E+00   7.0000E+00   4.2717E+07  0.0047
   7.0000E+00   8.0000E+00   3.5208E+07  0.0052
   8.0000E+00   9.0000E+00   2.9829E+07  0.0056
   9.0000E+00   1.0000E+01   2.5670E+07  0.0061
   1.0000E+01   1.1000E+01   2.2096E+07  0.0065
   1.1000E+01   1.2000E+01   1.9365E+07  0.0070
   1.2000E+01   1.3000E+01   1.7395E+07  0.0074
   1.3000E+01   1.4000E+01   1.5030E+07  0.0079
   1.4000E+01   1.5000E+01   1.3855E+07  0.0082
   1.5000E+01   1.6000E+01   1.2305E+07  0.0087
   1.6000E+01   1.7000E+01   1.1161E+07  0.0092
   1.7000E+01   1.8000E+01   1.0055E+07  0.0097
   1.8000E+01   1.9000E+01   9.2978E+06  0.0100
   1.9000E+01   2.0000E+01   8.3904E+06  0.0106
   2.0000E+01   2.1000E+01   7.5718E+06  0.0111
   2.1000E+01   2.2000E+01   7.1743E+06  0.0114
   2.2000E+01   2.3000E+01   6.4958E+06  0.0120
   2.3000E+01   2.4000E+01   6.0053E+06  0.0125
   2.4000E+01   2.5000E+01   5.4830E+06  0.0131
   2.5000E+01   2.6000E+01   4.9904E+06  0.0137
   2.6000E+01   2.7000E+01   4.6851E+06  0.0141
   2.7000E+01   2.8000E+01   4.3341E+06  0.0147
   2.8000E+01   2.9000E+01   3.9730E+06  0.0153
   2.9000E+01   3.0000E+01   3.5624E+06  0.0162
   3.0000E+01   3.1000E+01   3.4673E+06  0.0164
   3.1000E+01   3.2000E+01   3.0467E+06  0.0175
   3.2000E+01   3.3000E+01   2.8019E+06  0.0183
   3.3000E+01   3.4000E+01   2.5591E+06  0.0191
   3.4000E+01   3.5000E+01   2.2448E+06  0.0204
   3.5000E+01   3.6000E+01   2.1401E+06  0.0209
   3.6000E+01   3.7000E+01   1.7664E+06  0.0230
   3.7000E+01   3.8000E+01   1.6247E+06  0.0240
   3.8000E+01   3.9000E+01   1.3963E+06  0.0258
   3.9000E+01   4.0000E+01   1.1099E+06  0.0290
   4.0000E+01   4.1000E+01   8.9532E+05  0.0322
   4.1000E+01   4.2000E+01   6.7066E+05  0.0372
   4.2000E+01   4.3000E+01   4.4760E+05  0.0455
   4.3000E+01   4.4000E+01   2.0304E+05  0.0676
   4.4000E+01   4.5000E+01   3.6082E+04  0.1601
   4.5000E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   5.0000E+01   0.0000E+00  0.0000
   5.0000E+01   5.1000E+01   0.0000E+00  0.0000
   5.1000E+01   5.2000E+01   0.0000E+00  0.0000
   5.2000E+01   5.3000E+01   0.0000E+00  0.0000
   5.3000E+01   5.4000E+01   0.0000E+00  0.0000
   5.4000E+01   5.5000E+01   0.0000E+00  0.0000
   5.5000E+01   5.6000E+01   0.0000E+00  0.0000
   5.6000E+01   5.7000E+01   0.0000E+00  0.0000
   5.7000E+01   5.8000E+01   0.0000E+00  0.0000
   5.8000E+01   5.9000E+01   0.0000E+00  0.0000
   5.9000E+01   6.0000E+01   0.0000E+00  0.0000
