#  e-lower      e-upper      photon      r.err 
   0.0000E+00   1.0000E+00   3.5849E+08  0.0023
   1.0000E+00   2.0000E+00   2.0021E+08  0.0022
   2.0000E+00   3.0000E+00   1.1498E+08  0.0029
   3.0000E+00   4.0000E+00   7.8102E+07  0.0035
   4.0000E+00   5.0000E+00   5.7420E+07  0.0041
   5.0000E+00   6.0000E+00   4.4688E+07  0.0046
   6.0000E+00   7.0000E+00   3.5898E+07  0.0052
   7.0000E+00   8.0000E+00   2.9815E+07  0.0056
   8.0000E+00   9.0000E+00   2.4744E+07  0.0062
   9.0000E+00   1.0000E+01   2.1199E+07  0.0067
   1.0000E+01   1.1000E+01   1.8613E+07  0.0071
   1.1000E+01   1.2000E+01   1.6066E+07  0.0077
   1.2000E+01   1.3000E+01   1.3981E+07  0.0082
   1.3000E+01   1.4000E+01   1.2466E+07  0.0087
   1.4000E+01   1.5000E+01   1.1066E+07  0.0092
   1.5000E+01   1.6000E+01   9.7663E+06  0.0098
   1.6000E+01   1.7000E+01   8.8940E+06  0.0103
   1.7000E+01   1.8000E+01   8.1183E+06  0.0108
   1.8000E+01   1.9000E+01   7.4206E+06  0.0112
   1.9000E+01   2.0000E+01   6.6717E+06  0.0119
   2.0000E+01   2.1000E+01   6.0041E+06  0.0125
   2.1000E+01   2.2000E+01   5.5668E+06  0.0130
   2.2000E+01   2.3000E+01   4.9088E+06  0.0138
   2.3000E+01   2.4000E+01   4.4745E+06  0.0145
   2.4000E+01   2.5000E+01   4.0141E+06  0.0153
   2.5000E+01   2.6000E+01   3.9338E+06  0.0154
   2.6000E+01   2.7000E+01   3.4878E+06  0.0164
   2.7000E+01   2.8000E+01   3.1192E+06  0.0173
   2.8000E+01   2.9000E+01   2.8008E+06  0.0183
   2.9000E+01   3.0000E+01   2.5106E+06  0.0193
   3.0000E+01   3.1000E+01   2.2955E+06  0.0202
   3.1000E+01   3.2000E+01   1.9568E+06  0.0219
   3.2000E+01   3.3000E+01   1.7134E+06  0.0233
   3.3000E+01   3.4000E+01   1.5164E+06  0.0248
   3.4000E+01   3.5000E+01   1.3440E+06  0.0263
   3.5000E+01   3.6000E+01   9.8038E+05  0.0308
   3.6000E+01   3.7000E+01   7.6876E+05  0.0348
   3.7000E+01   3.8000E+01   4.3028E+05  0.0465
   3.8000E+01   3.9000E+01   1.9941E+05  0.0682
   3.9000E+01   4.0000E+01   4.6295E+04  0.1414
   4.0000E+01   4.1000E+01   0.0000E+00  0.0000
   4.1000E+01   4.2000E+01   0.0000E+00  0.0000
   4.2000E+01   4.3000E+01   0.0000E+00  0.0000
   4.3000E+01   4.4000E+01   0.0000E+00  0.0000
   4.4000E+01   4.5000E+01   0.0000E+00  0.0000
   4.5000E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   5.0000E+01   0.0000E+00  0.0000
   5.0000E+01   5.1000E+01   0.0000E+00  0.0000
   5.1000E+01   5.2000E+01   0.0000E+00  0.0000
   5.2000E+01   5.3000E+01   0.0000E+00  0.0000
   5.3000E+01   5.4000E+01   0.0000E+00  0.0000
   5.4000E+01   5.5000E+01   0.0000E+00  0.0000
   5.5000E+01   5.6000E+01   0.0000E+00  0.0000
   5.6000E+01   5.7000E+01   0.0000E+00  0.0000
   5.7000E+01   5.8000E+01   0.0000E+00  0.0000
   5.8000E+01   5.9000E+01   0.0000E+00  0.0000
   5.9000E+01   6.0000E+01   0.0000E+00  0.0000
