#  e-lower      e-upper      photon      r.err 
   0.0000E+00   1.0000E+00   2.9970E+08  0.0054
   1.0000E+00   2.0000E+00   1.6617E+08  0.0065
   2.0000E+00   3.0000E+00   9.5874E+07  0.0085
   3.0000E+00   4.0000E+00   6.3233E+07  0.0103
   4.0000E+00   5.0000E+00   4.6417E+07  0.0122
   5.0000E+00   6.0000E+00   3.6453E+07  0.0135
   6.0000E+00   7.0000E+00   2.8719E+07  0.0152
   7.0000E+00   8.0000E+00   2.3301E+07  0.0169
   8.0000E+00   9.0000E+00   2.0236E+07  0.0181
   9.0000E+00   1.0000E+01   1.6531E+07  0.0200
   1.0000E+01   1.1000E+01   1.4519E+07  0.0213
   1.1000E+01   1.2000E+01   1.2421E+07  0.0231
   1.2000E+01   1.3000E+01   1.0956E+07  0.0245
   1.3000E+01   1.4000E+01   9.3878E+06  0.0265
   1.4000E+01   1.5000E+01   8.7093E+06  0.0275
   1.5000E+01   1.6000E+01   7.6969E+06  0.0292
   1.6000E+01   1.7000E+01   6.5764E+06  0.0316
   1.7000E+01   1.8000E+01   6.2880E+06  0.0323
   1.8000E+01   1.9000E+01   5.2036E+06  0.0355
   1.9000E+01   2.0000E+01   5.0364E+06  0.0361
   2.0000E+01   2.1000E+01   4.5614E+06  0.0380
   2.1000E+01   2.2000E+01   4.0686E+06  0.0402
   2.2000E+01   2.3000E+01   3.3895E+06  0.0440
   2.3000E+01   2.4000E+01   3.1412E+06  0.0457
   2.4000E+01   2.5000E+01   2.9085E+06  0.0475
   2.5000E+01   2.6000E+01   2.5010E+06  0.0512
   2.6000E+01   2.7000E+01   2.2313E+06  0.0541
   2.7000E+01   2.8000E+01   1.8691E+06  0.0591
   2.8000E+01   2.9000E+01   1.5488E+06  0.0650
   2.9000E+01   3.0000E+01   1.3977E+06  0.0684
   3.0000E+01   3.1000E+01   9.4604E+05  0.0830
   3.1000E+01   3.2000E+01   7.6977E+05  0.0921
   3.2000E+01   3.3000E+01   4.5704E+05  0.1195
   3.3000E+01   3.4000E+01   2.2764E+05  0.1690
   3.4000E+01   3.5000E+01   5.1888E+04  0.3536
   3.5000E+01   3.6000E+01   0.0000E+00  0.0000
   3.6000E+01   3.7000E+01   0.0000E+00  0.0000
   3.7000E+01   3.8000E+01   0.0000E+00  0.0000
   3.8000E+01   3.9000E+01   0.0000E+00  0.0000
   3.9000E+01   4.0000E+01   0.0000E+00  0.0000
   4.0000E+01   4.1000E+01   0.0000E+00  0.0000
   4.1000E+01   4.2000E+01   0.0000E+00  0.0000
   4.2000E+01   4.3000E+01   0.0000E+00  0.0000
   4.3000E+01   4.4000E+01   0.0000E+00  0.0000
   4.4000E+01   4.5000E+01   0.0000E+00  0.0000
   4.5000E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   5.0000E+01   0.0000E+00  0.0000
