#  a-lower      a-upper      photon      r.err 
   0.0000E+00   5.0000E+00   3.6169E+08  0.0015
   5.0000E+00   1.0000E+01   5.1384E+08  0.0013
   1.0000E+01   1.5000E+01   4.7999E+08  0.0014
   1.5000E+01   2.0000E+01   4.1999E+08  0.0015
   2.0000E+01   2.5000E+01   3.5930E+08  0.0016
   2.5000E+01   3.0000E+01   3.0427E+08  0.0018
   3.0000E+01   3.5000E+01   2.5613E+08  0.0019
   3.5000E+01   4.0000E+01   2.1898E+08  0.0021
   4.0000E+01   4.5000E+01   1.8786E+08  0.0022
   4.5000E+01   5.0000E+01   1.6149E+08  0.0024
   5.0000E+01   5.5000E+01   1.3963E+08  0.0026
   5.5000E+01   6.0000E+01   1.2089E+08  0.0027
   6.0000E+01   6.5000E+01   1.0364E+08  0.0029
   6.5000E+01   7.0000E+01   8.7322E+07  0.0032
   7.0000E+01   7.5000E+01   7.0190E+07  0.0035
   7.5000E+01   8.0000E+01   5.3594E+07  0.0040
   8.0000E+01   8.5000E+01   3.3986E+07  0.0050
   8.5000E+01   9.0000E+01   1.1194E+07  0.0085
