#  a-lower      a-upper      photon      r.err 
   0.0000E+00   5.0000E+00   2.9680E+08  0.0017
   5.0000E+00   1.0000E+01   4.4099E+08  0.0014
   1.0000E+01   1.5000E+01   4.2800E+08  0.0014
   1.5000E+01   2.0000E+01   3.8585E+08  0.0015
   2.0000E+01   2.5000E+01   3.3914E+08  0.0016
   2.5000E+01   3.0000E+01   2.9464E+08  0.0018
   3.0000E+01   3.5000E+01   2.5505E+08  0.0019
   3.5000E+01   4.0000E+01   2.2053E+08  0.0020
   4.0000E+01   4.5000E+01   1.9138E+08  0.0022
   4.5000E+01   5.0000E+01   1.6606E+08  0.0023
   5.0000E+01   5.5000E+01   1.4428E+08  0.0025
   5.5000E+01   6.0000E+01   1.2546E+08  0.0027
   6.0000E+01   6.5000E+01   1.0781E+08  0.0029
   6.5000E+01   7.0000E+01   9.0490E+07  0.0031
   7.0000E+01   7.5000E+01   7.3172E+07  0.0034
   7.5000E+01   8.0000E+01   5.4794E+07  0.0039
   8.0000E+01   8.5000E+01   3.5084E+07  0.0049
   8.5000E+01   9.0000E+01   1.1178E+07  0.0085
