#  a-lower      a-upper      photon      r.err 
   0.0000E+00   5.0000E+00   1.8009E+08  0.0021
   5.0000E+00   1.0000E+01   2.9465E+08  0.0017
   1.0000E+01   1.5000E+01   3.0695E+08  0.0017
   1.5000E+01   2.0000E+01   2.9512E+08  0.0017
   2.0000E+01   2.5000E+01   2.7329E+08  0.0018
   2.5000E+01   3.0000E+01   2.4996E+08  0.0019
   3.0000E+01   3.5000E+01   2.2712E+08  0.0019
   3.5000E+01   4.0000E+01   2.0499E+08  0.0020
   4.0000E+01   4.5000E+01   1.8307E+08  0.0022
   4.5000E+01   5.0000E+01   1.6275E+08  0.0023
   5.0000E+01   5.5000E+01   1.4419E+08  0.0024
   5.5000E+01   6.0000E+01   1.2663E+08  0.0026
   6.0000E+01   6.5000E+01   1.0898E+08  0.0028
   6.5000E+01   7.0000E+01   9.1489E+07  0.0030
   7.0000E+01   7.5000E+01   7.3727E+07  0.0034
   7.5000E+01   8.0000E+01   5.4916E+07  0.0039
   8.0000E+01   8.5000E+01   3.3643E+07  0.0049
   8.5000E+01   9.0000E+01   9.9991E+06  0.0090
