#  a-lower      a-upper      photon      r.err 
   0.0000E+00   5.0000E+00   2.3541E+08  0.0019
   5.0000E+00   1.0000E+01   3.6718E+08  0.0015
   1.0000E+01   1.5000E+01   3.6990E+08  0.0015
   1.5000E+01   2.0000E+01   3.4335E+08  0.0016
   2.0000E+01   2.5000E+01   3.1115E+08  0.0017
   2.5000E+01   3.0000E+01   2.7725E+08  0.0018
   3.0000E+01   3.5000E+01   2.4490E+08  0.0019
   3.5000E+01   4.0000E+01   2.1685E+08  0.0020
   4.0000E+01   4.5000E+01   1.9042E+08  0.0022
   4.5000E+01   5.0000E+01   1.6781E+08  0.0023
   5.0000E+01   5.5000E+01   1.4702E+08  0.0024
   5.5000E+01   6.0000E+01   1.2870E+08  0.0026
   6.0000E+01   6.5000E+01   1.0971E+08  0.0028
   6.5000E+01   7.0000E+01   9.2966E+07  0.0031
   7.0000E+01   7.5000E+01   7.4460E+07  0.0034
   7.5000E+01   8.0000E+01   5.6375E+07  0.0039
   8.0000E+01   8.5000E+01   3.4957E+07  0.0049
   8.5000E+01   9.0000E+01   1.1010E+07  0.0086
