# x1 x2 x3 x4 x5 x6 x7
# 10001 7
# 10001 7
 0.00000000e+00  1.00000000e+00 -0.00000000e+00  3.65290384e+03 -0.00000000e+00  1.00000000e+00 -0.00000000e+00
 1.72000000e-01  1.71078905e-02  3.63662203e-06  6.24934789e+01  3.59036866e+03  1.71078905e-02  9.82880694e-01
 1.76000000e-01  1.55635264e-02  3.64233484e-06  5.68520655e+01  3.59600882e+03  1.55635264e-02  9.84424714e-01
 1.80000000e-01  1.41585752e-02  3.64753184e-06  5.17199139e+01  3.60113971e+03  1.41585752e-02  9.85829320e-01
 1.84000000e-01  1.28804518e-02  3.65225957e-06  4.70510521e+01  3.60580731e+03  1.28804518e-02  9.87107098e-01
 1.88000000e-01  1.17177073e-02  3.65656040e-06  4.28036579e+01  3.61005344e+03  1.17177073e-02  9.88269497e-01
 1.92000000e-01  1.06599260e-02  3.66047287e-06  3.89396846e+01  3.61391615e+03  1.06599260e-02  9.89326932e-01
 1.96000000e-01  9.69763279e-03  3.66403204e-06  3.54245201e+01  3.61743005e+03  9.69763279e-03  9.90288879e-01
 2.00000000e-01  8.82220775e-03  3.66726979e-06  3.22266766e+01  3.62062663e+03  8.82220775e-03  9.91163957e-01
 2.04000000e-01  8.02580912e-03  3.67021516e-06  2.93175090e+01  3.62353453e+03  8.02580912e-03  9.91960009e-01
 2.08000000e-01  7.30130300e-03  3.67289452e-06  2.66709578e+01  3.62617981e+03  7.30130300e-03  9.92684167e-01
 2.12000000e-01  6.64219953e-03  3.67533189e-06  2.42633162e+01  3.62858618e+03  6.64219953e-03  9.93342923e-01
 2.16000000e-01  6.04259467e-03  3.67754912e-06  2.20730173e+01  3.63077521e+03  6.04259467e-03  9.93942180e-01
 2.20000000e-01  5.49711736e-03  3.67956608e-06  2.00804411e+01  3.63276652e+03  5.49711736e-03  9.94487310e-01
 2.24000000e-01  5.00088139e-03  3.68140084e-06  1.82677389e+01  3.63457795e+03  5.00088139e-03  9.94983197e-01
 2.28000000e-01  4.54944166e-03  3.68306986e-06  1.66186729e+01  3.63622574e+03  4.54944166e-03  9.95434289e-01
 2.32000000e-01  4.13875431e-03  3.68458810e-06  1.51184715e+01  3.63772467e+03  4.13875431e-03  9.95844627e-01
