# x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13
# 10001 13
# 10001 13
 0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00 -0.00000000e+00  1.85726789e+06  0.00000000e+00  3.65290384e+03 -0.00000000e+00  1.00000000e+00  0.00000000e+00  1.00000000e+00 -0.00000000e+00
 4.00000000e-03  9.99813938e-01  2.79994201e-04  9.09727966e-01  3.34003110e-07  1.85692232e+06  3.45519461e+02  3.32314878e+03  3.29755001e+02  9.99813938e-01  1.86036416e-04  9.09727966e-01  9.02720179e-02
 8.00000000e-03  9.99627910e-01  5.59857902e-04  8.27604972e-01  6.37854964e-07  1.85657682e+06  6.90877881e+02  3.02316138e+03  6.29742232e+02  9.99627910e-01  3.71986123e-04  8.27604972e-01  1.72394966e-01
 1.20000000e-02  9.99441916e-01  8.39591149e-04  7.52895388e-01  9.14277375e-07  1.85623138e+06  1.03607532e+03  2.75025446e+03  9.02648890e+02  9.99441916e-01  5.57849152e-04  7.52895388e-01  2.47104476e-01
 1.60000000e-02  9.99255958e-01  1.11919399e-03  6.84929990e-01  1.16574646e-06  1.85588600e+06  1.38111183e+03  2.50198339e+03  1.15091959e+03  9.99255958e-01  7.43625535e-04  6.84929990e-01  3.15069775e-01
 2.00000000e-02  9.99070034e-01  1.39866646e-03  6.23099967e-01  1.39451480e-06  1.85554069e+06  1.72598747e+03  2.27612426e+03  1.37677828e+03  9.99070034e-01  9.29315302e-04  6.23099967e-01  3.76899678e-01
 2.40000000e-02  9.98884144e-01  1.67800863e-03  5.66851465e-01  1.60263163e-06  1.85519544e+06  2.07070229e+03  2.07065390e+03  1.58224813e+03  9.98884144e-01  1.11491848e-03  5.66851465e-01  4.33148037e-01
 2.80000000e-02  9.98698290e-01  1.95722052e-03  5.15680631e-01  1.79196123e-06  1.85485026e+06  2.41525637e+03  1.88373176e+03  1.76916968e+03  9.98698290e-01  1.30043511e-03  5.15680631e-01  4.84318711e-01
 3.20000000e-02  9.98512469e-01  2.23630219e-03  4.69129091e-01  1.96419953e-06  1.85450514e+06  2.75964974e+03  1.71368346e+03  1.93921733e+03  9.98512469e-01  1.48586521e-03  4.69129091e-01  5.30870073e-01
 3.60000000e-02  9.98326684e-01  2.51525368e-03  4.26779854e-01  2.12088942e-06  1.85416009e+06  3.10388247e+03  1.55898577e+03  2.09391431e+03  9.98326684e-01  1.67120882e-03  4.26779854e-01  5.73219116e-01
 4.00000000e-02  9.98140932e-01  2.79407504e-03  3.88253569e-01  2.26343448e-06  1.85381510e+06  3.44795462e+03  1.41825295e+03  2.23464637e+03  9.98140932e-01  1.85646596e-03  3.88253569e-01  6.11745194e-01
 4.40000000e-02  9.97955216e-01  3.07276631e-03  3.53205129e-01  2.39311158e-06  1.85347018e+06  3.79186624e+03  1.29022437e+03  2.36267415e+03  9.97955216e-01  2.04163668e-03  3.53205129e-01  6.46793413e-01
 4.80000000e-02  9.97769534e-01  3.35132755e-03  3.21320584e-01  2.51108236e-06  1.85312531e+06  4.13561739e+03  1.17375320e+03  2.47914448e+03  9.97769534e-01  2.22672099e-03  3.21320584e-01  6.78677727e-01
 5.20000000e-02  9.97583886e-01  3.62975879e-03  2.92314321e-01  2.61840355e-06  1.85278052e+06  4.47920812e+03  1.06779611e+03  2.58510068e+03  9.97583886e-01  2.41171893e-03  2.92314321e-01  7.07683747e-01
 5.60000000e-02  9.97398273e-01  3.90806009e-03  2.65926513e-01  2.71603653e-06  1.85243578e+06  4.82263850e+03  9.71403981e+02  2.68149188e+03  9.97398273e-01  2.59663053e-03  2.65926513e-01  7.34071302e-01
 6.00000000e-02  9.97212695e-01  4.18623149e-03  2.41920786e-01  2.80485586e-06  1.85209112e+06  5.16590858e+03  8.83713368e+02  2.76918154e+03  9.97212695e-01  2.78145582e-03  2.41920786e-01  7.58076768e-01
 6.40000000e-02  9.97027151e-01  4.46427303e-03  2.20082104e-01  2.88565717e-06  1.85174651e+06  5.50901841e+03  8.03938765e+02  2.84895516e+03  9.97027151e-01  2.96619483e-03  2.20082104e-01  7.79915181e-01
 6.80000000e-02  9.96841642e-01  4.74218476e-03  2.00214845e-01  2.95916427e-06  1.85140197e+06  5.85196806e+03  7.31365577e+02  2.92152734e+03  9.96841642e-01  3.15084759e-03  2.00214845e-01  7.99782163e-01
 7.20000000e-02  9.96656167e-01  5.01996674e-03  1.82141044e-01  3.02603562e-06  1.85105749e+06  6.19475757e+03  6.65343719e+02  2.98754816e+03  9.96656167e-01  3.33541414e-03  1.82141044e-01  8.17855681e-01
 7.60000000e-02  9.96470727e-01  5.29761899e-03  1.65698801e-01  3.08687023e-06  1.85071308e+06  6.53738702e+03  6.05281788e+02  3.04760904e+03  9.96470727e-01  3.51989450e-03  1.65698801e-01  8.34297635e-01
 8.00000000e-02  9.96285321e-01  5.57514158e-03  1.50740833e-01  3.14221307e-06  1.85036873e+06  6.87985645e+03  5.50641770e+02  3.10224798e+03  9.96285321e-01  3.70428870e-03  1.50740833e-01  8.49255308e-01
 8.40000000e-02  9.96099950e-01  5.85253454e-03  1.37133152e-01  3.19255987e-06  1.85002445e+06  7.22216591e+03  5.00934218e+02  3.15195444e+03  9.96099950e-01  3.88859677e-03  1.37133152e-01  8.62862690e-01
 8.80000000e-02  9.95914613e-01  6.12979792e-03  1.24753863e-01  3.23836166e-06  1.84968023e+06  7.56431548e+03  4.55713867e+02  3.19717367e+03  9.95914613e-01  4.07281875e-03  1.24753863e-01  8.75241674e-01
 9.20000000e-02  9.95729311e-01  6.40693177e-03  1.13492078e-01  3.28002870e-06  1.84933607e+06  7.90630520e+03  4.14575649e+02  3.23831077e+03  9.95729311e-01  4.25695466e-03  1.13492078e-01  8.86503151e-01
 9.60000000e-02  9.95544043e-01  6.68393613e-03  1.03246918e-01  3.31793426e-06  1.84899198e+06  8.24813512e+03  3.77151062e+02  3.27573421e+03  9.95544043e-01  4.44100454e-03  1.03246918e-01  8.96747999e-01
 1.00000000e-01  9.95358809e-01  6.96081105e-03  9.39266083e-02  3.35241789e-06  1.84864795e+06  8.58980532e+03  3.43104869e+02  3.30977925e+03  9.95358809e-01  4.62496842e-03  9.39266083e-02  9.06067993e-01
 1.04000000e-01  9.95173610e-01  7.23755658e-03  8.54476624e-02  3.38378850e-06  1.84830399e+06  8.93131584e+03  3.12132094e+02  3.34075086e+03  9.95173610e-01  4.80884632e-03  8.54476624e-02  9.14546620e-01
 1.08000000e-01  9.94988446e-01  7.51417275e-03  7.77341281e-02  3.41232710e-06  1.84796009e+06  9.27266674e+03  2.83955295e+02  3.36892649e+03  9.94988446e-01  4.99263827e-03  7.77341281e-02  9.22259833e-01
 1.12000000e-01  9.94803316e-01  7.79065963e-03  7.07169102e-02  3.43828934e-06  1.84761625e+06  9.61385808e+03  2.58322073e+02  3.39455853e+03  9.94803316e-01  5.17634432e-03  7.07169102e-02  9.29276727e-01
 1.16000000e-01  9.94618220e-01  8.06701725e-03  6.43331509e-02  3.46190781e-06  1.84727248e+06  9.95488991e+03  2.35002814e+02  3.41787659e+03  9.94618220e-01  5.35996448e-03  6.43331509e-02  9.35660160e-01
 1.20000000e-01  9.94433159e-01  8.34324565e-03  5.85256665e-02  3.48339407e-06  1.84692877e+06  1.02957623e+04  2.13788632e+02  3.43908957e+03  9.94433159e-01  5.54349879e-03  5.85256665e-02  9.41467315e-01
 1.24000000e-01  9.94248133e-01  8.61934489e-03  5.32424356e-02  3.50294060e-06  1.84658513e+06  1.06364753e+04  1.94489498e+02  3.45838750e+03  9.94248133e-01  5.72694728e-03  5.32424356e-02  9.46750216e-01
 1.28000000e-01  9.94063140e-01  8.89531501e-03  4.84361326e-02  3.52072252e-06  1.84624155e+06  1.09770289e+04  1.76932535e+02  3.47594325e+03  9.94063140e-01  5.91030997e-03  4.84361326e-02  9.51556186e-01
 1.32000000e-01  9.93878182e-01  9.17115606e-03  4.40637044e-02  3.53689910e-06  1.84589803e+06  1.13174233e+04  1.60960475e+02  3.49191409e+03  9.93878182e-01  6.09358691e-03  4.40637044e-02  9.55928281e-01
