#  [JENDL-5    300 K], Ra-226, MT =  16 (n,2n)
#    energy (eV)  cross sec. (b)
    5.000746e-01    5.947124e+02
    5.013535e-01    6.370187e+02
    5.026324e-01    6.831798e+02
    5.039113e-01    7.334801e+02
    5.051902e-01    7.881902e+02
    5.063170e-01    8.402450e+02
    5.077181e-01    9.102213e+02
    5.091191e-01    9.862077e+02
    5.105202e-01    1.068307e+03
    5.119212e-01    1.156490e+03
    5.133223e-01    1.250574e+03
    5.154238e-01    1.401891e+03
    5.175254e-01    1.563450e+03
    5.238301e-01    2.070621e+03
    5.259317e-01    2.228904e+03
    5.280333e-01    2.370935e+03
    5.294319e-01    2.453161e+03
    5.308305e-01    2.523422e+03
    5.322292e-01    2.580115e+03
    5.336278e-01    2.621913e+03
    5.351330e-01    2.649126e+03
    5.366381e-01    2.657200e+03
    5.382460e-01    2.644466e+03
    5.393129e-01    2.624031e+03
    5.409063e-01    2.576454e+03
    5.424997e-01    2.509834e+03
    5.440931e-01    2.426217e+03
    5.456865e-01    2.328064e+03
    5.472277e-01    2.221881e+03
    5.495394e-01    2.047626e+03
    5.560543e-01    1.526850e+03
    5.581559e-01    1.367802e+03
    5.595569e-01    1.267403e+03
    5.609580e-01    1.172249e+03
    5.623590e-01    1.082746e+03
    5.637601e-01    9.991227e+02
    5.651611e-01    9.214521e+02
    5.665622e-01    8.496799e+02
    5.679632e-01    7.836482e+02
    5.693643e-01    7.231206e+02
    5.707653e-01    6.678038e+02
    5.721664e-01    6.173676e+02
    5.735674e-01    5.714610e+02
    5.747743e-01    5.352738e+02
    5.762934e-01    4.937753e+02
    5.778125e-01    4.563826e+02
    5.793316e-01    4.226800e+02
    5.808507e-01    3.922806e+02
    5.823698e-01    3.648293e+02
    5.839104e-01    3.396712e+02
    5.854509e-01    3.169118e+02
    5.869914e-01    2.962820e+02
    5.885320e-01    2.775430e+02
    5.900725e-01    2.604842e+02
    5.916275e-01    2.447802e+02
    5.931898e-01    2.303678e+02
    5.947521e-01    2.171745e+02
    5.963143e-01    2.050700e+02
    5.978766e-01    1.939399e+02
    5.999743e-01    1.803535e+02
    6.020867e-01    1.680540e+02
    6.041991e-01    1.569616e+02
    6.063116e-01    1.469242e+02
    6.084389e-01    1.377512e+02
    6.105811e-01    1.293486e+02
    6.127233e-01    1.216857e+02
    6.148655e-01    1.146781e+02
    6.170229e-01    1.082098e+02
    6.191953e-01    1.022284e+02
    6.213677e-01    9.672431e+01
    6.235402e-01    9.164813e+01
    6.257279e-01    8.692479e+01
    6.290326e-01    8.044538e+01
    6.323372e-01    7.465525e+01
    6.356729e-01    6.941385e+01
    6.390242e-01    6.467706e+01
    6.423754e-01    6.040193e+01
    6.457740e-01    5.647848e+01
    6.491725e-01    5.291893e+01
    6.525870e-01    4.966515e+01
    6.560335e-01    4.667038e+01
    6.594800e-01    4.393325e+01
    6.629589e-01    4.140257e+01
    6.664540e-01    3.906945e+01
    6.699491e-01    3.692389e+01
    6.734935e-01    3.491967e+01
    6.770379e-01    3.307067e+01
    6.817971e-01    3.080520e+01
    6.865897e-01    2.874593e+01
    6.914161e-01    2.686919e+01
    6.962763e-01    2.515473e+01
    7.011707e-01    2.358483e+01
    7.060995e-01    2.214423e+01
    7.110630e-01    2.081943e+01
    7.160613e-01    1.959875e+01
    7.210948e-01    1.847181e+01
    7.261636e-01    1.742963e+01
    7.312681e-01    1.646417e+01
    7.364084e-01    1.556842e+01
    7.415850e-01    1.473606e+01
    7.467978e-01    1.396152e+01
    7.520474e-01    1.323977e+01
    7.599770e-01    1.224812e+01
    7.680184e-01    1.134868e+01
    7.761355e-01    1.053456e+01
    7.843287e-01    9.795713e+00
    7.925987e-01    9.123518e+00
    8.009853e-01    8.507793e+00
    8.094508e-01    7.945303e+00
    8.179957e-01    7.430385e+00
    8.266206e-01    6.958095e+00
    8.353672e-01    6.522128e+00
    8.441960e-01    6.120878e+00
    8.531078e-01    5.750911e+00
    8.621029e-01    5.409221e+00
    8.712249e-01    5.091739e+00
    8.804328e-01    4.797747e+00
    8.897270e-01    4.525123e+00
    8.991083e-01    4.271975e+00
    9.086219e-01    4.035547e+00
    9.182249e-01    3.815526e+00
    9.311794e-01    3.545082e+00
    9.443167e-01    3.298033e+00
    9.576393e-01    3.071933e+00
    9.711499e-01    2.864669e+00
    9.848511e-01    2.674367e+00
    9.987455e-01    2.499366e+00
    1.012836e+00    2.338202e+00
    1.027125e+00    2.189583e+00
    1.041616e+00    2.052343e+00
    1.056312e+00    1.925405e+00
    1.071214e+00    1.807839e+00
    1.086327e+00    1.698839e+00
    1.101653e+00    1.597672e+00
    1.117196e+00    1.503674e+00
    1.132957e+00    1.416245e+00
    1.148941e+00    1.334843e+00
    1.165151e+00    1.258990e+00
    1.181589e+00    1.188248e+00
    1.198259e+00    1.122192e+00
    1.215164e+00    1.060442e+00
    1.232308e+00    1.002678e+00
    1.249694e+00    9.486059e-01
    1.267325e+00    8.979520e-01
    1.285204e+00    8.504643e-01
    1.303336e+00    8.059125e-01
    1.321724e+00    7.640857e-01
    1.340371e+00    7.247928e-01
    1.368803e+00    6.702957e-01
    1.397906e+00    6.204316e-01
    1.427558e+00    5.749399e-01
    1.457910e+00    5.332056e-01
    1.488835e+00    4.950517e-01
    1.520490e+00    4.599661e-01
    1.552743e+00    4.278160e-01
    1.585757e+00    3.981884e-01
    1.619393e+00    3.709960e-01
    1.653825e+00    3.458744e-01
    1.688905e+00    3.227518e-01
    1.724814e+00    3.013574e-01
    1.761401e+00    2.816373e-01
    1.798851e+00    2.633595e-01
    1.837008e+00    2.464836e-01
    1.876066e+00    2.308169e-01
    1.915860e+00    2.163347e-01
    1.956595e+00    2.028733e-01
    1.998098e+00    1.903977e-01
    2.040581e+00    1.787812e-01
    2.083865e+00    1.680086e-01
    2.128172e+00    1.579653e-01
    2.173314e+00    1.486397e-01
    2.219523e+00    1.399346e-01
    2.266603e+00    1.318418e-01
    2.314795e+00    1.242811e-01
    2.363896e+00    1.172476e-01
    2.414156e+00    1.106612e-01
    2.465365e+00    1.045240e-01
    2.517783e+00    9.877607e-02
    2.571189e+00    9.341503e-02
    2.625858e+00    8.838896e-02
    2.681556e+00    8.369661e-02
    2.738571e+00    7.929322e-02
    2.796661e+00    7.517842e-02
    2.856123e+00    7.131641e-02
    2.937281e+00    6.654307e-02
    3.020745e+00    6.215790e-02
    3.106581e+00    5.812812e-02
    3.194856e+00    5.442218e-02
    3.285639e+00    5.101158e-02
    3.379002e+00    4.787054e-02
    3.475018e+00    4.497576e-02
    3.573762e+00    4.230679e-02
    3.675312e+00    3.984292e-02
    3.779748e+00    3.756755e-02
